,file_date,report,acc-no,cik,id,interactive_data
0,2022-02-28,10-K,0001558370-22-002371,1192448,1,True
1,2021-03-01,10-K,0001558370-21-002061,1192448,2,True
2,2020-03-02,10-K,0001558370-20-001862,1192448,3,True
3,2019-02-28,10-K,0001558370-19-001235,1192448,4,True
4,2018-02-28,10-K,0001558370-18-001301,1192448,5,True
5,2017-03-15,10-K,0001558370-17-001833,1192448,6,True
6,2016-03-15,10-K,0001558370-16-004119,1192448,7,True
7,2022-03-01,10-K,0001705110-22-000021,1705110,1,True
8,2021-02-16,10-K,0001705110-21-000015,1705110,2,True
9,2020-02-28,10-K,0001705110-20-000003,1705110,3,True
10,2019-03-01,10-K,0001705110-19-000002,1705110,4,True
11,2018-03-14,10-K,0001705110-18-000004,1705110,5,True
12,2022-02-11,10-K,0001500217-22-000011,1500217,1,True
13,2021-02-16,10-K,0001500217-21-000008,1500217,2,True
14,2020-02-14,10-K,0001500217-20-000010,1500217,3,True
15,2019-02-15,10-K,0001500217-19-000010,1500217,4,True
16,2018-02-16,10-K,0001500217-18-000024,1500217,5,True
17,2017-02-17,10-K,0001500217-17-000006,1500217,6,True
18,2016-02-19,10-K,0001500217-16-000148,1500217,7,True
19,2015-07-31,10-K/A,0001500217-15-000103,1500217,8,True
20,2015-02-20,10-K,0001500217-15-000039,1500217,9,True
21,2014-02-21,10-K,0001500217-14-000020,1500217,10,True
22,2013-02-22,10-K,0001193125-13-071652,1500217,11,True
23,2012-03-09,10-K,0001193125-12-106547,1500217,12,True
24,2022-02-24,10-K,0001628280-22-003549,1823593,1,True
25,2022-04-04,10-K/A,0001843388-22-000001,1843388,1,True
26,2022-03-31,10-K,0001628280-22-007951,1843388,2,True
27,2022-02-25,10-K,0000887343-22-000038,887343,1,True
28,2021-02-26,10-K,0000887343-21-000065,887343,2,True
29,2020-02-27,10-K,0000887343-20-000070,887343,3,True
30,2019-02-28,10-K,0000887343-19-000033,887343,4,True
31,2018-03-01,10-K,0000887343-18-000041,887343,5,True
32,2017-03-01,10-K,0000887343-17-000049,887343,6,True
33,2016-02-29,10-K,0000887343-16-000045,887343,7,True
34,2015-03-02,10-K,0000887343-15-000009,887343,8,True
35,2014-03-03,10-K,0000887343-14-000008,887343,10,True
36,2013-03-01,10-K,0000887343-13-000008,887343,11,True
37,2012-02-29,10-K,0000887343-12-000013,887343,12,True
38,2022-02-23,10-K,0001628280-22-003530,19745,1,True
39,2021-02-24,10-K,0001628280-21-003104,19745,2,True
40,2020-06-29,10-K/A,0001193125-20-181408,19745,3,True
41,2020-02-26,10-K,0001628280-20-002321,19745,4,True
42,2019-02-27,10-K,0001628280-19-002015,19745,5,True
43,2018-03-01,10-K,0001628280-18-002594,19745,6,True
44,2017-02-28,10-K,0001628280-17-001844,19745,7,True
45,2016-02-29,10-K,0001628280-16-011868,19745,8,True
46,2015-03-05,10-K,0001628280-15-001482,19745,9,True
47,2014-03-06,10-K,0001445305-14-000904,19745,10,True
48,2013-03-08,10-K,0001193125-13-097201,19745,11,True
49,2012-03-07,10-K,0001193125-12-099980,19745,13,True
50,2022-03-29,10-K,0001193125-22-087521,1525769,1,True
51,2021-03-31,10-K,0001193125-21-102470,1525769,2,True
52,2020-05-14,10-K/A,0001104659-20-061611,1525769,3,True
53,2020-04-03,10-K,0001193125-20-098060,1525769,4,True
54,2019-04-02,10-K,0001193125-19-095746,1525769,5,True
55,2018-04-03,10-K,0001193125-18-106389,1525769,6,True
56,2017-03-28,10-K,0001193125-17-099977,1525769,7,True
57,2016-03-29,10-K,0001193125-16-521591,1525769,8,True
58,2015-04-07,10-K,0001193125-15-121531,1525769,9,True
59,2022-03-01,10-K,0001616000-22-000036,1616000,1,True
60,2021-03-01,10-K,0001616000-21-000030,1616000,2,True
61,2020-02-25,10-K,0001616000-20-000023,1616000,3,True
62,2019-02-26,10-K,0001616000-19-000026,1616000,4,True
63,2018-02-27,10-K,0001616000-18-000044,1616000,5,True
64,2017-02-28,10-K,0001616000-17-000024,1616000,6,True
65,2016-03-10,10-K,0001616000-16-000089,1616000,8,True
66,2022-02-24,10-K,0001658566-22-000022,1658566,1,True
67,2021-02-24,10-K,0001658566-21-000033,1658566,2,True
68,2020-02-24,10-K,0001658566-20-000040,1658566,3,True
69,2019-02-25,10-K,0001658566-19-000028,1658566,4,True
70,2018-02-26,10-K,0001658566-18-000008,1658566,5,True
71,2017-03-23,10-K,0001628280-17-002841,1658566,6,True
72,2022-02-23,10-K,0001564590-22-006232,800240,1,True
73,2021-02-24,10-K,0001564590-21-008074,800240,2,True
74,2020-02-26,10-K,0001564590-20-006770,800240,3,True
75,2019-02-27,10-K,0001564590-19-004964,800240,4,True
76,2018-02-28,10-K,0001193125-18-062066,800240,5,True
77,2017-03-01,10-K,0001193125-17-063841,800240,7,True
78,2016-02-23,10-K,0001193125-16-472490,800240,9,True
79,2015-02-24,10-K,0001193125-15-059042,800240,11,True
80,2014-02-25,10-K,0001193125-14-065991,800240,12,True
81,2013-02-20,10-K,0001193125-13-066586,800240,14,True
82,2012-02-28,10-K,0001193125-12-083271,800240,15,True
83,2011-04-06,10-K/A,0001193125-11-089601,800240,16,True
84,2011-02-22,10-K,0001193125-11-041599,800240,17,True
85,2022-04-22,10-K,0000950170-22-005974,1682745,1,True
86,2021-05-17,10-K/A,0001564590-21-028121,1682745,2,True
87,2021-04-06,10-K/A,0001564590-21-017806,1682745,3,True
88,2021-03-01,10-K,0001564590-21-009903,1682745,4,True
89,2020-03-02,10-K,0001564590-20-008153,1682745,5,True
90,2019-03-18,10-K,0001564590-19-008329,1682745,7,True
91,2018-03-14,10-K,0001558370-18-002065,1682745,8,True
92,2022-02-16,10-K,0001611547-22-000012,1611547,1,True
93,2021-02-17,10-K,0001611547-21-000006,1611547,2,True
94,2020-02-13,10-K,0001611547-20-000008,1611547,3,True
95,2019-02-13,10-K,0001611547-19-000007,1611547,4,True
96,2018-02-14,10-K,0001611547-18-000009,1611547,5,True
97,2017-02-16,10-K,0001611547-17-000009,1611547,6,True
98,2016-02-19,10-K,0001611547-16-000035,1611547,7,True
99,2022-02-24,10-K,0001558370-22-001977,1679826,1,True
100,2021-02-24,10-K,0001558370-21-001638,1679826,2,True
101,2020-03-04,10-K,0001558370-20-002034,1679826,3,True
102,2022-02-25,10-K,0001628280-22-003965,944148,1,True
103,2021-02-26,10-K,0001628280-21-003443,944148,2,True
104,2020-02-26,10-K,0001564590-20-006848,944148,3,True
105,2019-02-28,10-K,0001564590-19-005524,944148,4,True
106,2018-03-01,10-K,0001564590-18-004128,944148,5,True
107,2017-03-09,10-K,0001564590-17-003833,944148,6,True
108,2016-03-08,10-K,0001193125-16-496744,944148,7,True
109,2015-03-12,10-K,0001193125-15-089151,944148,8,True
110,2014-03-14,10-K,0001193125-14-099816,944148,9,True
111,2013-03-15,10-K,0001193125-13-109647,944148,10,True
112,2012-03-15,10-K,0001193125-12-117458,944148,11,True
113,2022-03-01,10-K,0000950170-22-002443,1024795,1,True
114,2021-03-02,10-K,0001564590-21-010095,1024795,2,True
115,2020-02-25,10-K,0001564590-20-006215,1024795,3,True
116,2019-02-26,10-K,0001564590-19-004297,1024795,4,True
117,2018-02-27,10-K,0001564590-18-003418,1024795,5,True
118,2017-02-28,10-K,0001564590-17-002829,1024795,6,True
119,2016-03-01,10-K,0001024795-16-000051,1024795,7,True
120,2015-02-24,10-K,0001024795-15-000007,1024795,8,True
121,2014-03-07,10-K,0001024795-14-000010,1024795,9,True
122,2013-03-12,10-K,0001193125-13-103067,1024795,10,True
123,2012-03-14,10-K,0001193125-12-113092,1024795,11,True
124,2022-02-25,10-K,0001552797-22-000012,1552797,1,True
125,2021-03-01,10-K,0001552797-21-000015,1552797,2,True
126,2020-02-28,10-K,0001552797-20-000009,1552797,3,True
127,2019-03-01,10-K,0001552797-19-000011,1552797,4,True
128,2018-03-01,10-K,0001552797-18-000019,1552797,5,True
129,2017-02-28,10-K,0001552797-17-000009,1552797,6,True
130,2016-02-29,10-K,0001552797-16-000106,1552797,7,True
131,2015-02-26,10-K,0001552797-15-000008,1552797,8,True
132,2014-03-05,10-K,0001552797-14-000007,1552797,9,True
133,2013-03-12,10-K,0001552797-13-000009,1552797,10,True
134,2022-03-01,10-K,0001581990-22-000006,1581990,1,True
135,2021-03-01,10-K,0001581990-21-000007,1581990,2,True
136,2020-02-27,10-K,0001581990-20-000005,1581990,3,True
137,2019-02-27,10-K,0001581990-19-000004,1581990,4,True
138,2018-02-27,10-K,0001581990-18-000005,1581990,5,True
139,2017-02-23,10-K,0001581990-17-000004,1581990,6,True
140,2016-02-25,10-K,0001104659-16-100037,1581990,7,True
141,2015-02-25,10-K,0001104659-15-013899,1581990,8,True
142,2014-03-12,10-K,0001104659-14-018845,1581990,9,True
143,2022-05-31,10-K,0000278166-22-000031,278166,1,True
144,2021-05-28,10-K,0000278166-21-000029,278166,2,True
145,2020-05-27,10-K,0000278166-20-000028,278166,3,True
146,2019-05-29,10-K,0000278166-19-000053,278166,4,True
147,2018-05-30,10-K,0000278166-18-000019,278166,5,True
148,2017-06-13,10-K,0000278166-17-000024,278166,6,True
149,2016-06-21,10-K,0000278166-16-000106,278166,7,True
150,2015-06-10,10-K,0000278166-15-000026,278166,9,True
151,2014-06-11,10-K,0000278166-14-000019,278166,10,True
152,2013-06-11,10-K,0001445305-13-001462,278166,11,True
153,2012-06-12,10-K,0001193125-12-266959,278166,12,True
154,2022-02-28,10-K,0001193125-22-058265,1563190,1,True
155,2022-02-28,10-K,0000780571-22-000004,780571,1,True
156,2021-02-24,10-K,0000780571-21-000009,780571,2,True
157,2020-02-27,10-K,0000780571-20-000004,780571,3,True
158,2019-02-28,10-K,0000780571-19-000007,780571,4,True
159,2018-03-01,10-K,0000780571-18-000013,780571,5,True
160,2017-03-01,10-K,0000780571-17-000003,780571,6,True
161,2016-06-30,10-K,0000780571-16-000059,780571,7,True
162,2015-02-20,10-K,0000780571-15-000010,780571,8,True
163,2014-02-26,10-K,0000780571-14-000014,780571,9,True
164,2013-02-22,10-K,0000780571-13-000004,780571,10,True
165,2012-02-17,10-K,0000780571-12-000006,780571,12,True
166,2011-02-25,10-K,0001193125-11-045950,780571,13,True
167,2022-02-25,10-K,0001564590-22-007077,1703057,1,True
168,2022-02-15,10-K,0001307748-22-000021,1307748,1,True
169,2021-02-19,10-K,0001307748-21-000026,1307748,2,True
170,2020-02-21,10-K,0001307748-20-000020,1307748,3,True
171,2019-03-07,10-K,0001307748-19-000025,1307748,4,True
172,2018-03-07,10-K,0001307748-18-000032,1307748,5,True
173,2017-03-17,10-K,0001307748-17-000018,1307748,6,True
174,2016-03-18,10-K,0001307748-16-000031,1307748,7,True
175,2015-03-27,10-K,0001307748-15-000008,1307748,8,True
176,2014-03-13,10-K,0001307748-14-000011,1307748,11,True
177,2013-03-13,10-K,0001307748-13-000007,1307748,12,True
178,2012-03-08,10-K,0001193125-12-104200,1307748,14,True
179,2022-02-23,10-K,0001564590-22-006312,1444380,1,True
180,2021-02-24,10-K,0001564590-21-008153,1444380,2,True
181,2020-02-25,10-K,0001564590-20-006427,1444380,3,True
182,2019-02-21,10-K,0001564590-19-003708,1444380,4,True
183,2018-02-22,10-K,0001564590-18-002905,1444380,5,True
184,2017-02-23,10-K,0001564590-17-002237,1444380,6,True
185,2016-02-29,10-K,0001193125-16-485541,1444380,7,True
186,2015-03-18,10-K,0001193125-15-097120,1444380,9,True
187,2021-08-10,10-K,0000055242-21-000042,55242,1,True
188,2020-08-20,10-K,0000055242-20-000026,55242,2,True
189,2019-08-13,10-K,0000055242-19-000019,55242,3,True
190,2018-08-10,10-K,0000055242-18-000025,55242,4,True
191,2017-08-14,10-K,0000055242-17-000024,55242,5,True
192,2016-08-11,10-K,0000055242-16-000060,55242,6,True
193,2015-08-13,10-K,0000055242-15-000024,55242,7,True
194,2014-08-13,10-K,0000055242-14-000020,55242,8,True
195,2013-08-13,10-K,0000055242-13-000017,55242,9,True
196,2012-08-13,10-K,0001193125-12-351892,55242,11,True
197,2011-08-11,10-K,0000950123-11-076137,55242,12,True
198,2021-08-27,10-K,0001375365-21-000060,1375365,1,True
199,2020-08-31,10-K,0001375365-20-000064,1375365,2,True
200,2019-12-19,10-K,0001375365-19-000079,1375365,3,True
201,2019-05-17,10-K,0001375365-19-000039,1375365,4,True
202,2016-08-26,10-K,0001628280-16-019274,1375365,5,True
203,2015-11-16,10-K/A,0001628280-15-008827,1375365,6,True
204,2015-09-10,10-K,0001628280-15-007025,1375365,7,True
205,2014-09-15,10-K,0001445305-14-003958,1375365,8,True
206,2013-09-11,10-K,0001445305-13-002262,1375365,9,True
207,2012-09-13,10-K,0001445305-12-002860,1375365,10,True
208,2022-03-10,10-K,0000105418-22-000009,105418,1,True
209,2021-03-11,10-K,0000105418-21-000015,105418,2,True
210,2020-03-12,10-K,0000105418-20-000007,105418,3,True
211,2019-03-14,10-K,0000105418-19-000010,105418,4,True
212,2018-03-15,10-K,0000105418-18-000006,105418,5,True
213,2017-03-16,10-K,0000105418-17-000007,105418,6,True
214,2016-03-18,10-K,0000105418-16-000069,105418,7,True
215,2015-03-13,10-K,0000105418-15-000009,105418,8,True
216,2014-03-14,10-K,0000105418-14-000018,105418,9,True
217,2013-03-14,10-K,0000105418-13-000008,105418,10,True
218,2012-03-15,10-K,0000105418-12-000005,105418,11,True
219,2022-02-28,10-K,0001726978-22-000029,1726978,1,True
220,2021-02-26,10-K,0001726978-21-000035,1726978,2,True
221,2020-03-16,10-K,0001726978-20-000088,1726978,3,True
222,2019-03-14,10-K,0001726978-19-000074,1726978,4,True
223,2022-03-01,10-K,0000886346-22-000018,886346,1,True
224,2021-03-02,10-K,0000886346-21-000021,886346,2,True
225,2020-02-25,10-K,0000886346-20-000019,886346,3,True
226,2019-02-26,10-K,0000886346-19-000019,886346,4,True
227,2018-02-27,10-K,0000886346-18-000018,886346,5,True
228,2017-03-15,10-K,0000886346-17-000054,886346,6,True
229,2016-03-16,10-K,0000886346-16-000221,886346,7,True
230,2015-03-18,10-K,0000886346-15-000088,886346,8,True
231,2014-03-12,10-K,0000886346-14-000013,886346,9,True
232,2013-03-13,10-K,0001140361-13-012297,886346,10,True
233,2012-03-14,10-K,0001193125-12-114609,886346,11,True
234,2022-02-25,10-K,0001193125-22-053214,1851003,1,True
235,2021-10-29,10-K,0001564590-21-052973,1160951,1,True
236,2022-02-23,10-K,0001437749-22-004203,26780,1,True
237,2021-02-18,10-K,0001437749-21-003221,26780,2,True
238,2020-02-14,10-K,0000026780-20-000006,26780,3,True
239,2019-02-15,10-K,0000026780-19-000004,26780,4,True
240,2018-02-14,10-K,0000026780-18-000004,26780,5,True
241,2017-02-10,10-K,0000026780-17-000004,26780,6,True
242,2016-02-18,10-K,0000026780-16-000019,26780,7,True
