,file_date,report,acc-no,cik,id,interactive_data
0,2022-02-25,10-K,0001227025-22-000014,1227025,1,True
1,2021-02-25,10-K,0001227025-21-000034,1227025,2,True
2,2020-03-03,10-K/A,0001227025-20-000025,1227025,3,True
3,2020-02-28,10-K,0001227025-20-000020,1227025,4,True
4,2019-03-08,10-K,0001227025-19-000013,1227025,5,True
5,2018-03-09,10-K,0001227025-18-000009,1227025,6,True
6,2017-03-16,10-K,0001227025-17-000020,1227025,7,True
7,2016-03-15,10-K,0001558370-16-004127,1227025,8,True
8,2015-03-16,10-K,0001564590-15-001751,1227025,10,True
9,2014-06-04,10-K,0001564590-14-002398,1227025,11,True
10,2013-03-15,10-K,0001193125-13-110074,1227025,12,True
11,2012-03-30,10-K,0001193125-12-143139,1227025,13,True
12,2022-02-28,10-K,0001564590-22-007652,923796,1,True
13,2021-02-16,10-K,0001564590-21-006003,923796,2,True
14,2020-02-26,10-K,0001193125-20-049748,923796,3,True
15,2019-02-25,10-K,0001193125-19-050054,923796,4,True
16,2018-02-26,10-K,0001193125-18-058566,923796,5,True
17,2017-02-27,10-K,0001193125-17-056831,923796,6,True
18,2016-02-26,10-K,0001193125-16-478864,923796,7,True
19,2015-02-26,10-K,0001193125-15-062920,923796,8,True
20,2014-03-03,10-K,0001193125-14-080213,923796,9,True
21,2013-03-01,10-K,0001193125-13-087892,923796,10,True
22,2012-03-01,10-K,0001193125-12-090269,923796,11,True
23,2011-03-02,10-K,0000950123-11-020922,923796,12,True
24,2021-11-10,10-K,0001171843-21-007797,796505,1,True
25,2020-11-12,10-K,0001171843-20-007946,796505,2,True
26,2019-11-15,10-K,0001171843-19-007586,796505,3,True
27,2018-11-14,10-K,0001171843-18-007950,796505,4,True
28,2017-11-15,10-K,0001171843-17-007043,796505,5,True
29,2016-11-22,10-K,0001171843-16-013350,796505,6,True
30,2015-11-25,10-K,0001171843-15-006549,796505,7,True
31,2014-11-26,10-K,0001171843-14-005701,796505,8,True
32,2013-11-21,10-K,0001171843-13-004762,796505,9,True
33,2012-12-04,10-K,0001171843-12-004374,796505,10,True
34,2011-11-30,10-K,0001171843-11-003637,796505,11,True
35,2021-11-15,10-K,0001558370-21-016037,830524,1,True
36,2020-11-12,10-K,0001558370-20-013721,830524,2,True
37,2019-11-13,10-K,0001558370-19-010957,830524,3,True
38,2018-11-27,10-K,0001558370-18-009471,830524,4,True
39,2017-11-09,10-K,0001558370-17-008752,830524,5,True
40,2016-11-14,10-K,0001558370-16-010069,830524,6,True
41,2015-11-16,10-K,0001558370-15-002705,830524,7,True
42,2014-11-14,10-K,0001047469-14-009223,830524,8,True
43,2013-11-14,10-K,0001047469-13-010544,830524,9,True
44,2012-11-14,10-K,0001047469-12-010587,830524,10,True
45,2022-03-23,10-K,0001788717-22-000003,1788717,1,True
46,2022-02-22,10-K,0000950170-22-001641,1020214,1,True
47,2021-02-25,10-K,0001564590-21-008958,1020214,2,True
48,2020-02-21,10-K,0001564590-20-005756,1020214,3,True
49,2019-02-27,10-K,0001564590-19-004542,1020214,4,True
50,2018-03-08,10-K,0001564590-18-004969,1020214,5,True
51,2017-03-08,10-K,0001564590-17-003711,1020214,7,True
52,2016-03-09,10-K,0001193125-16-498617,1020214,8,True
53,2015-03-16,10-K,0001193125-15-094038,1020214,9,True
54,2014-03-07,10-K,0001193125-14-089394,1020214,10,True
55,2013-03-12,10-K,0001193125-13-103031,1020214,11,True
56,2012-03-05,10-K,0001193125-12-096720,1020214,12,True
57,2022-03-31,10-K,0001828183-22-000003,1828183,1,True
58,2022-03-10,10-K,0000950170-22-003355,69488,1,True
59,2021-03-11,10-K,0001564590-21-012511,69488,2,True
60,2020-03-06,10-K,0001564590-20-009170,69488,3,True
61,2019-03-08,10-K,0001564590-19-007003,69488,4,True
62,2018-03-09,10-K,0001564590-18-005141,69488,5,True
63,2017-03-09,10-K,0001564590-17-003837,69488,6,True
64,2016-03-14,10-K,0001564590-16-014716,69488,7,True
65,2015-03-31,10-K,0000069488-15-000007,69488,8,True
66,2014-03-11,10-K,0000069488-14-000005,69488,9,True
67,2013-03-04,10-K,0000069488-13-000004,69488,12,True
68,2012-03-02,10-K,0001193125-12-094294,69488,13,True
69,2022-03-28,10-K,0001818644-22-000008,1818644,1,True
70,2021-05-04,10-K/A,0001213900-21-024511,1818644,2,True
71,2021-03-15,10-K,0001213900-21-015416,1818644,3,True
72,2022-03-01,10-K,0001000623-22-000016,1000623,1,True
73,2021-03-01,10-K,0001000623-21-000047,1000623,2,True
74,2020-03-02,10-K,0001000623-20-000048,1000623,3,True
75,2019-03-01,10-K,0001000623-19-000048,1000623,4,True
76,2018-03-01,10-K,0001000623-18-000044,1000623,5,True
77,2017-02-24,10-K,0001000623-17-000036,1000623,6,True
78,2016-02-26,10-K,0001000623-16-000141,1000623,7,True
79,2015-02-27,10-K,0001000623-15-000028,1000623,8,True
80,2014-02-28,10-K,0001000623-14-000035,1000623,9,True
81,2013-03-01,10-K,0001000623-13-000042,1000623,10,True
82,2012-02-24,10-K,0001000623-12-000056,1000623,11,True
83,2022-03-01,10-K,0001564590-22-007821,1538849,1,True
84,2021-03-02,10-K,0001564590-21-010002,1538849,2,True
85,2021-01-22,10-K/A,0001564590-21-001829,1538849,3,True
86,2020-02-26,10-K,0001564590-20-006520,1538849,4,True
87,2019-02-26,10-K,0001564590-19-004128,1538849,5,True
88,2018-02-27,10-K,0001564590-18-003295,1538849,6,True
89,2017-02-28,10-K,0001538849-17-000008,1538849,7,True
90,2016-02-19,10-K,0001538849-16-000071,1538849,8,True
91,2015-02-27,10-K,0001193125-15-070302,1538849,9,True
92,2014-03-10,10-K,0001193125-14-091702,1538849,10,True
93,2013-03-28,10-K,0001047469-13-003574,1538849,11,True
94,2022-05-18,10-K,0000046250-22-000016,46250,1,True
95,2021-06-02,10-K,0000046250-21-000019,46250,2,True
96,2020-05-20,10-K,0000046250-20-000027,46250,3,True
97,2019-05-23,10-K,0000046250-19-000017,46250,4,True
98,2018-05-31,10-K,0000046250-18-000014,46250,5,True
99,2017-06-01,10-K,0000046250-17-000016,46250,6,True
100,2016-06-03,10-K,0000046250-16-000047,46250,7,True
101,2015-05-28,10-K,0000046250-15-000011,46250,9,True
102,2014-05-29,10-K,0000046250-14-000013,46250,10,True
103,2013-05-30,10-K,0000046250-13-000007,46250,11,True
104,2012-06-01,10-K,0001193125-12-256380,46250,12,True
105,2022-02-24,10-K,0001564590-22-006702,899460,1,True
106,2021-02-25,10-K,0001564590-21-008440,899460,2,True
107,2020-02-25,10-K,0001564590-20-006198,899460,3,True
108,2019-02-26,10-K,0001564590-19-004263,899460,4,True
109,2018-02-27,10-K,0001564590-18-003510,899460,5,True
