,file_date,report,acc-no,cik,id,interactive_data
0,2021-06-24,10-K,0001393905-21-000310,1429393,1,True
1,2020-04-23,10-K/A,0001393905-20-000127,1429393,2,True
2,2019-04-10,10-K,0001393905-19-000116,1429393,4,True
3,2018-04-16,10-K,0001393905-18-000136,1429393,5,True
4,2017-07-26,10-K,0001393905-17-000214,1429393,6,True
5,2016-11-03,10-K/A,0001077048-16-000109,1429393,7,True
6,2016-05-09,10-K,0001077048-16-000091,1429393,8,True
7,2015-04-01,10-K,0001077048-15-000023,1429393,9,True
8,2014-04-14,10-K,0001077048-14-000074,1429393,10,True
9,2013-04-16,10-K,0001077048-13-000074,1429393,11,True
10,2012-05-02,10-K/A,0001077048-12-000253,1429393,12,True
11,2012-04-16,10-K,0001077048-12-000194,1429393,13,True
12,2022-03-28,10-K,0001213900-22-015583,1314196,1,True
13,2021-03-30,10-K,0001213900-21-018415,1314196,2,True
14,2020-04-29,10-K,0001213900-20-010370,1314196,4,True
15,2019-04-18,10-K,0001213900-19-006667,1314196,5,True
16,2018-04-13,10-K,0001213900-18-004403,1314196,6,True
17,2017-04-12,10-K,0001213900-17-003650,1314196,7,True
18,2016-04-01,10-K,0001213900-16-012172,1314196,8,True
19,2015-03-23,10-K,0001213900-15-001997,1314196,9,True
20,2014-03-28,10-K,0001213900-14-001820,1314196,10,True
21,2013-04-01,10-K,0001213900-13-001444,1314196,11,True
22,2012-03-20,10-K,0001144204-12-016186,1314196,12,True
23,2022-04-18,10-K,0001477932-22-002455,1408057,1,True
24,2021-04-22,10-K/A,0001477932-21-002582,1408057,2,True
25,2020-03-27,10-K,0001477932-20-001558,1408057,4,True
26,2019-04-01,10-K,0001477932-19-001309,1408057,5,True
27,2015-12-09,10-K,0001354488-15-005443,1408057,8,True
28,2014-02-24,10-K,0001185185-14-000401,1408057,9,True
29,2013-03-26,10-K/A,0001185185-13-000610,1408057,10,True
30,2022-03-31,10-K,0001410578-22-000664,1729750,1,True
31,2021-03-30,10-K,0001104659-21-043439,1729750,2,True
32,2022-05-02,10-K/A,0001193125-22-136435,1124105,1,True
33,2022-03-31,10-K,0001564590-22-012877,1124105,2,True
34,2021-03-04,10-K,0001564590-21-010823,1124105,3,True
35,2020-02-20,10-K,0001564590-20-005546,1124105,4,True
36,2019-03-08,10-K,0001564590-19-006879,1124105,6,True
37,2018-03-19,10-K,0001564590-18-006216,1124105,7,True
38,2017-03-08,10-K,0001564590-17-003722,1124105,8,True
39,2016-03-09,10-K,0001193125-16-498295,1124105,9,True
40,2015-03-16,10-K,0001193125-15-093871,1124105,10,True
41,2014-03-14,10-K,0001193125-14-099974,1124105,11,True
42,2013-03-15,10-K,0001193125-13-109464,1124105,12,True
43,2012-03-06,10-K,0001193125-12-099259,1124105,13,True
44,2022-03-18,10-K,0001564590-22-011056,1651721,1,True
45,2022-04-28,10-K/A,0001193125-22-125177,1817944,1,True
46,2022-03-31,10-K,0001193125-22-092120,1817944,2,True
47,2021-05-06,10-K,0001213900-21-024924,1817944,4,True
48,2022-03-31,10-K,0001493152-22-008349,34285,1,True
49,2021-03-31,10-K,0001493152-21-007359,34285,2,True
50,2020-05-01,10-K,0001493152-20-007520,34285,4,True
51,2019-03-29,10-K/A,0001079974-19-000148,34285,5,True
52,2019-03-28,10-K,0001079974-19-000137,34285,6,True
53,2018-03-29,10-K,0001079974-18-000167,34285,7,True
54,2017-03-20,10-K,0001079974-17-000088,34285,8,True
55,2016-03-30,10-K,0001079974-16-001076,34285,9,True
56,2015-03-31,10-K,0001079974-15-000210,34285,10,True
57,2014-03-28,10-K,0001248915-14-000063,34285,11,True
58,2013-02-28,10-K,0001477932-13-000937,34285,12,True
59,2012-11-14,10-K/A,0001477932-12-004324,34285,13,True
60,2012-03-07,10-K,0001477932-12-000621,34285,15,True
61,2022-03-25,10-K,0001121702-22-000008,1121702,1,True
62,2021-03-16,10-K,0001121702-21-000010,1121702,2,True
63,2020-03-25,10-K,0001121702-20-000019,1121702,3,True
64,2019-03-28,10-K,0001121702-19-000007,1121702,4,True
65,2018-03-12,10-K,0001121702-18-000009,1121702,5,True
66,2017-03-30,10-K,0001121702-17-000024,1121702,6,True
67,2016-03-29,10-K,0001121702-16-000055,1121702,7,True
68,2015-03-25,10-K,0001121702-15-000010,1121702,8,True
69,2014-03-28,10-K,0001047469-14-003155,1121702,9,True
70,2013-03-28,10-K,0001047469-13-003558,1121702,10,True
71,2012-03-12,10-K,0001047469-12-002477,1121702,11,True
72,2021-07-08,10-K,0001477932-21-004504,1622057,1,True
73,2020-06-22,10-K,0001477932-20-003479,1622057,2,True
