,file_date,report,acc-no,cik,id,interactive_data
0,2022-02-22,10-K,0000070858-22-000062,70858,1,True
1,2021-02-24,10-K,0000070858-21-000023,70858,2,True
2,2020-02-19,10-K,0000070858-20-000011,70858,3,True
3,2019-02-26,10-K,0000070858-19-000012,70858,4,True
4,2018-02-22,10-K,0000070858-18-000009,70858,5,True
5,2017-02-23,10-K,0000070858-17-000013,70858,6,True
6,2016-02-24,10-K,0000070858-16-000137,70858,7,True
7,2015-02-25,10-K,0000070858-15-000008,70858,8,True
8,2014-02-25,10-K,0000070858-14-000012,70858,9,True
9,2013-02-28,10-K,0000070858-13-000097,70858,10,True
10,2012-02-23,10-K,0000070858-12-000155,70858,11,True
11,2011-02-25,10-K,0000950123-11-018743,70858,12,True
12,2010-02-26,10-K,0001193125-10-041666,70858,13,True
13,2022-02-22,10-K,0000070858-22-000062,70858,1,True
14,2021-02-24,10-K,0000070858-21-000023,70858,2,True
15,2020-02-19,10-K,0000070858-20-000011,70858,3,True
16,2019-02-26,10-K,0000070858-19-000012,70858,4,True
17,2018-02-22,10-K,0000070858-18-000009,70858,5,True
18,2017-02-23,10-K,0000070858-17-000013,70858,6,True
19,2016-02-24,10-K,0000070858-16-000137,70858,7,True
20,2015-02-25,10-K,0000070858-15-000008,70858,8,True
21,2014-02-25,10-K,0000070858-14-000012,70858,9,True
22,2013-02-28,10-K,0000070858-13-000097,70858,10,True
23,2012-02-23,10-K,0000070858-12-000155,70858,11,True
24,2011-02-25,10-K,0000950123-11-018743,70858,12,True
25,2010-02-26,10-K,0001193125-10-041666,70858,13,True
26,2022-02-22,10-K,0000070858-22-000062,70858,1,True
27,2021-02-24,10-K,0000070858-21-000023,70858,2,True
28,2020-02-19,10-K,0000070858-20-000011,70858,3,True
29,2019-02-26,10-K,0000070858-19-000012,70858,4,True
30,2018-02-22,10-K,0000070858-18-000009,70858,5,True
31,2017-02-23,10-K,0000070858-17-000013,70858,6,True
32,2016-02-24,10-K,0000070858-16-000137,70858,7,True
33,2015-02-25,10-K,0000070858-15-000008,70858,8,True
34,2014-02-25,10-K,0000070858-14-000012,70858,9,True
35,2013-02-28,10-K,0000070858-13-000097,70858,10,True
36,2012-02-23,10-K,0000070858-12-000155,70858,11,True
37,2011-02-25,10-K,0000950123-11-018743,70858,12,True
38,2010-02-26,10-K,0001193125-10-041666,70858,13,True
39,2022-02-22,10-K,0000070858-22-000062,70858,1,True
40,2021-02-24,10-K,0000070858-21-000023,70858,2,True
41,2020-02-19,10-K,0000070858-20-000011,70858,3,True
42,2019-02-26,10-K,0000070858-19-000012,70858,4,True
43,2018-02-22,10-K,0000070858-18-000009,70858,5,True
44,2017-02-23,10-K,0000070858-17-000013,70858,6,True
45,2016-02-24,10-K,0000070858-16-000137,70858,7,True
46,2015-02-25,10-K,0000070858-15-000008,70858,8,True
47,2014-02-25,10-K,0000070858-14-000012,70858,9,True
48,2013-02-28,10-K,0000070858-13-000097,70858,10,True
49,2012-02-23,10-K,0000070858-12-000155,70858,11,True
50,2011-02-25,10-K,0000950123-11-018743,70858,12,True
51,2010-02-26,10-K,0001193125-10-041666,70858,13,True
52,2022-02-22,10-K,0000070858-22-000062,70858,1,True
53,2021-02-24,10-K,0000070858-21-000023,70858,2,True
54,2020-02-19,10-K,0000070858-20-000011,70858,3,True
55,2019-02-26,10-K,0000070858-19-000012,70858,4,True
56,2018-02-22,10-K,0000070858-18-000009,70858,5,True
57,2017-02-23,10-K,0000070858-17-000013,70858,6,True
58,2016-02-24,10-K,0000070858-16-000137,70858,7,True
59,2015-02-25,10-K,0000070858-15-000008,70858,8,True
60,2014-02-25,10-K,0000070858-14-000012,70858,9,True
61,2013-02-28,10-K,0000070858-13-000097,70858,10,True
62,2012-02-23,10-K,0000070858-12-000155,70858,11,True
63,2011-02-25,10-K,0000950123-11-018743,70858,12,True
64,2010-02-26,10-K,0001193125-10-041666,70858,13,True
65,2022-02-22,10-K,0000070858-22-000062,70858,1,True
66,2021-02-24,10-K,0000070858-21-000023,70858,2,True
67,2020-02-19,10-K,0000070858-20-000011,70858,3,True
68,2019-02-26,10-K,0000070858-19-000012,70858,4,True
69,2018-02-22,10-K,0000070858-18-000009,70858,5,True
70,2017-02-23,10-K,0000070858-17-000013,70858,6,True
71,2016-02-24,10-K,0000070858-16-000137,70858,7,True
72,2015-02-25,10-K,0000070858-15-000008,70858,8,True
73,2014-02-25,10-K,0000070858-14-000012,70858,9,True
74,2013-02-28,10-K,0000070858-13-000097,70858,10,True
75,2012-02-23,10-K,0000070858-12-000155,70858,11,True
76,2011-02-25,10-K,0000950123-11-018743,70858,12,True
77,2010-02-26,10-K,0001193125-10-041666,70858,13,True
78,2022-02-22,10-K,0000070858-22-000062,70858,1,True
79,2021-02-24,10-K,0000070858-21-000023,70858,2,True
80,2020-02-19,10-K,0000070858-20-000011,70858,3,True
81,2019-02-26,10-K,0000070858-19-000012,70858,4,True
82,2018-02-22,10-K,0000070858-18-000009,70858,5,True
83,2017-02-23,10-K,0000070858-17-000013,70858,6,True
84,2016-02-24,10-K,0000070858-16-000137,70858,7,True
85,2015-02-25,10-K,0000070858-15-000008,70858,8,True
86,2014-02-25,10-K,0000070858-14-000012,70858,9,True
87,2013-02-28,10-K,0000070858-13-000097,70858,10,True
88,2012-02-23,10-K,0000070858-12-000155,70858,11,True
89,2011-02-25,10-K,0000950123-11-018743,70858,12,True
90,2010-02-26,10-K,0001193125-10-041666,70858,13,True
91,2022-02-22,10-K,0000070858-22-000062,70858,1,True
92,2021-02-24,10-K,0000070858-21-000023,70858,2,True
93,2020-02-19,10-K,0000070858-20-000011,70858,3,True
94,2019-02-26,10-K,0000070858-19-000012,70858,4,True
95,2018-02-22,10-K,0000070858-18-000009,70858,5,True
96,2017-02-23,10-K,0000070858-17-000013,70858,6,True
97,2016-02-24,10-K,0000070858-16-000137,70858,7,True
98,2015-02-25,10-K,0000070858-15-000008,70858,8,True
99,2014-02-25,10-K,0000070858-14-000012,70858,9,True
100,2013-02-28,10-K,0000070858-13-000097,70858,10,True
101,2012-02-23,10-K,0000070858-12-000155,70858,11,True
102,2011-02-25,10-K,0000950123-11-018743,70858,12,True
103,2010-02-26,10-K,0001193125-10-041666,70858,13,True
104,2022-02-22,10-K,0000072971-22-000096,72971,1,True
105,2021-02-23,10-K,0000072971-21-000197,72971,2,True
106,2020-02-27,10-K,0000072971-20-000217,72971,3,True
107,2019-02-27,10-K,0000072971-19-000227,72971,4,True
108,2018-03-01,10-K,0000072971-18-000272,72971,5,True
109,2017-03-01,10-K,0000072971-17-000278,72971,6,True
110,2016-02-24,10-K,0000072971-16-001045,72971,7,True
111,2015-02-25,10-K,0000072971-15-000449,72971,8,True
112,2014-02-26,10-K,0000072971-14-000337,72971,9,True
113,2013-02-27,10-K,0001193125-13-078820,72971,10,True
114,2012-02-28,10-K,0001193125-12-084528,72971,11,True
115,2011-02-25,10-K,0000950123-11-018541,72971,12,True
116,2010-02-26,10-K,0000950123-10-017877,72971,13,True
117,2022-02-22,10-K,0000072971-22-000096,72971,1,True
118,2021-02-23,10-K,0000072971-21-000197,72971,2,True
119,2020-02-27,10-K,0000072971-20-000217,72971,3,True
120,2019-02-27,10-K,0000072971-19-000227,72971,4,True
121,2018-03-01,10-K,0000072971-18-000272,72971,5,True
122,2017-03-01,10-K,0000072971-17-000278,72971,6,True
123,2016-02-24,10-K,0000072971-16-001045,72971,7,True
124,2015-02-25,10-K,0000072971-15-000449,72971,8,True
125,2014-02-26,10-K,0000072971-14-000337,72971,9,True
126,2013-02-27,10-K,0001193125-13-078820,72971,10,True
127,2012-02-28,10-K,0001193125-12-084528,72971,11,True
128,2011-02-25,10-K,0000950123-11-018541,72971,12,True
129,2010-02-26,10-K,0000950123-10-017877,72971,13,True
130,2022-02-22,10-K,0000072971-22-000096,72971,1,True
131,2021-02-23,10-K,0000072971-21-000197,72971,2,True
132,2020-02-27,10-K,0000072971-20-000217,72971,3,True
133,2019-02-27,10-K,0000072971-19-000227,72971,4,True
134,2018-03-01,10-K,0000072971-18-000272,72971,5,True
135,2017-03-01,10-K,0000072971-17-000278,72971,6,True
136,2016-02-24,10-K,0000072971-16-001045,72971,7,True
137,2015-02-25,10-K,0000072971-15-000449,72971,8,True
138,2014-02-26,10-K,0000072971-14-000337,72971,9,True
139,2013-02-27,10-K,0001193125-13-078820,72971,10,True
140,2012-02-28,10-K,0001193125-12-084528,72971,11,True
141,2011-02-25,10-K,0000950123-11-018541,72971,12,True
142,2010-02-26,10-K,0000950123-10-017877,72971,13,True
143,2022-02-22,10-K,0000072971-22-000096,72971,1,True
144,2021-02-23,10-K,0000072971-21-000197,72971,2,True
145,2020-02-27,10-K,0000072971-20-000217,72971,3,True
146,2019-02-27,10-K,0000072971-19-000227,72971,4,True
147,2018-03-01,10-K,0000072971-18-000272,72971,5,True
148,2017-03-01,10-K,0000072971-17-000278,72971,6,True
149,2016-02-24,10-K,0000072971-16-001045,72971,7,True
150,2015-02-25,10-K,0000072971-15-000449,72971,8,True
151,2014-02-26,10-K,0000072971-14-000337,72971,9,True
152,2013-02-27,10-K,0001193125-13-078820,72971,10,True
153,2012-02-28,10-K,0001193125-12-084528,72971,11,True
154,2011-02-25,10-K,0000950123-11-018541,72971,12,True
155,2010-02-26,10-K,0000950123-10-017877,72971,13,True
156,2022-02-16,10-K,0000732717-22-000015,732717,1,True
157,2021-02-25,10-K,0000732717-21-000012,732717,2,True
158,2020-02-20,10-K,0001562762-20-000064,732717,3,True
159,2019-02-20,10-K,0001193125-19-045608,732717,4,True
160,2018-02-20,10-K,0000732717-18-000009,732717,5,True
161,2017-02-17,10-K,0000732717-17-000021,732717,6,True
162,2016-02-18,10-K,0000732717-16-000147,732717,7,True
163,2015-02-20,10-K,0000732717-15-000016,732717,8,True
164,2014-02-21,10-K,0000732717-14-000010,732717,9,True
165,2013-02-22,10-K,0000732717-13-000017,732717,10,True
166,2012-02-24,10-K,0000732717-12-000025,732717,11,True
167,2011-03-01,10-K,0000732717-11-000014,732717,12,True
168,2010-02-25,10-K,0000732717-10-000013,732717,13,True
169,2022-02-28,10-K,0000831001-22-000036,831001,1,True
170,2021-02-26,10-K,0000831001-21-000042,831001,2,True
171,2020-02-21,10-K,0000831001-20-000031,831001,3,True
172,2019-02-22,10-K,0000831001-19-000027,831001,4,True
173,2018-02-23,10-K,0000831001-18-000040,831001,5,True
174,2017-02-24,10-K,0000831001-17-000038,831001,6,True
175,2016-02-26,10-K,0000831001-16-000235,831001,7,True
176,2015-02-25,10-K,0000831001-15-000043,831001,8,True
177,2014-03-03,10-K,0001104659-14-015152,831001,9,True
178,2013-03-01,10-K,0001206774-13-000852,831001,10,True
179,2012-02-24,10-K,0001206774-12-000799,831001,11,True
180,2011-02-25,10-K,0001206774-11-000316,831001,12,True
181,2010-02-26,10-K,0001206774-10-000406,831001,13,True
182,2022-02-22,10-K,0000072971-22-000096,72971,1,True
183,2021-02-23,10-K,0000072971-21-000197,72971,2,True
184,2020-02-27,10-K,0000072971-20-000217,72971,3,True
185,2019-02-27,10-K,0000072971-19-000227,72971,4,True
186,2018-03-01,10-K,0000072971-18-000272,72971,5,True
187,2017-03-01,10-K,0000072971-17-000278,72971,6,True
188,2016-02-24,10-K,0000072971-16-001045,72971,7,True
189,2015-02-25,10-K,0000072971-15-000449,72971,8,True
190,2014-02-26,10-K,0000072971-14-000337,72971,9,True
191,2013-02-27,10-K,0001193125-13-078820,72971,10,True
192,2012-02-28,10-K,0001193125-12-084528,72971,11,True
193,2011-02-25,10-K,0000950123-11-018541,72971,12,True
194,2010-02-26,10-K,0000950123-10-017877,72971,13,True
195,2022-03-07,10-K/A,0001193125-22-068180,895728,1,True
196,2022-02-11,10-K,0000895728-22-000011,895728,2,True
197,2021-03-08,10-K/A,0001193125-21-073298,895728,3,True
198,2021-02-12,10-K,0000895728-21-000010,895728,4,True
199,2020-03-09,10-K/A,0001193125-20-067327,895728,5,True
200,2020-02-14,10-K,0000895728-20-000009,895728,6,True
201,2019-02-15,10-K,0000895728-19-000033,895728,7,True
202,2018-02-16,10-K,0000895728-18-000008,895728,8,True
203,2022-03-07,10-K/A,0001193125-22-068180,895728,1,True
204,2022-02-11,10-K,0000895728-22-000011,895728,2,True
205,2021-03-08,10-K/A,0001193125-21-073298,895728,3,True
206,2021-02-12,10-K,0000895728-21-000010,895728,4,True
207,2020-03-09,10-K/A,0001193125-20-067327,895728,5,True
208,2020-02-14,10-K,0000895728-20-000009,895728,6,True
209,2019-02-15,10-K,0000895728-19-000033,895728,7,True
210,2018-02-16,10-K,0000895728-18-000008,895728,8,True
211,2022-02-22,10-K,0001193125-22-048709,36104,1,True
212,2021-02-23,10-K,0001193125-21-052547,36104,2,True
213,2020-02-20,10-K,0001193125-20-043622,36104,3,True
214,2019-02-22,10-K,0001193125-19-047201,36104,4,True
215,2018-02-22,10-K,0001193125-18-053893,36104,5,True
216,2017-02-23,10-K,0001193125-17-053947,36104,6,True
217,2016-02-25,10-K,0001193125-16-478568,36104,7,True
218,2015-02-27,10-K,0001193125-15-068728,36104,9,True
219,2014-02-21,10-K,0001193125-14-062530,36104,10,True
220,2013-02-22,10-K,0001193125-13-071069,36104,11,True
221,2012-02-23,10-K,0001193125-12-075125,36104,12,True
222,2011-02-28,10-K,0000950123-11-019888,36104,13,True
223,2010-02-26,10-K,0000950123-10-018123,36104,14,True
224,2022-02-10,10-K,0001755672-22-000005,30554,1,True
225,2021-02-11,10-K,0001755672-21-000008,30554,2,True
226,2020-02-14,10-K,0001755672-20-000006,30554,3,True
227,2019-02-11,10-K,0000030554-19-000005,30554,4,True
228,2018-02-15,10-K,0000030554-18-000002,30554,5,True
229,2017-02-02,10-K,0000030554-17-000004,30554,6,True
230,2016-02-04,10-K,0000030554-16-000106,30554,7,True
231,2015-02-05,10-K,0000030554-15-000004,30554,8,True
232,2014-02-05,10-K,0000030554-14-000002,30554,9,True
233,2013-02-07,10-K,0000030554-13-000006,30554,10,True
234,2012-02-09,10-K,0000030554-12-000005,30554,11,True
235,2011-02-08,10-K,0001047469-11-000602,30554,12,True
236,2022-02-22,10-K,0001193125-22-048709,36104,1,True
