,file_date,report,acc-no,cik,id,interactive_data
0,2022-02-10,10-K,0000842162-22-000009,842162,1,True
1,2021-02-10,10-K,0000842162-21-000010,842162,2,True
2,2020-02-04,10-K,0000842162-20-000006,842162,3,True
3,2019-02-05,10-K,0000842162-19-000006,842162,4,True
4,2018-02-06,10-K,0000842162-18-000007,842162,5,True
5,2017-02-07,10-K,0000842162-17-000006,842162,6,True
6,2016-02-09,10-K,0000842162-16-000019,842162,7,True
7,2015-02-10,10-K,0000842162-15-000004,842162,8,True
8,2014-02-11,10-K,0001193125-14-043696,842162,9,True
9,2013-02-12,10-K,0001193125-13-050279,842162,10,True
10,2012-02-17,10-K,0001193125-12-067424,842162,11,True
11,2022-03-01,10-K,0000007332-22-000009,7332,1,True
12,2021-03-01,10-K,0000007332-21-000016,7332,2,True
13,2020-02-27,10-K,0000007332-20-000017,7332,3,True
14,2019-02-28,10-K,0000007332-19-000010,7332,4,True
15,2018-03-01,10-K,0000007332-18-000016,7332,5,True
16,2017-02-23,10-K,0000007332-17-000009,7332,6,True
17,2016-02-26,10-K/A,0000007332-16-000043,7332,7,True
18,2015-02-26,10-K,0000007332-15-000004,7332,9,True
19,2014-02-27,10-K,0000007332-14-000004,7332,10,True
20,2013-02-21,10-K,0000007332-13-000007,7332,11,True
21,2012-02-28,10-K,0000007332-12-000003,7332,12,True
22,2011-03-03,10-K/A,0000007332-11-000008,7332,13,True
23,2010-02-25,10-K,0000007332-10-000005,7332,15,True
24,2021-08-24,10-K,0001564590-21-045434,1618673,1,True
25,2020-08-18,10-K,0001564590-20-040455,1618673,2,True
26,2019-08-16,10-K,0001564590-19-032384,1618673,3,True
27,2018-08-16,10-K,0001564590-18-021907,1618673,4,True
28,2017-08-25,10-K,0001193125-17-267515,1618673,5,True
29,2016-08-30,10-K,0001193125-16-696928,1618673,6,True
30,2022-02-17,10-K,0000350698-22-000025,350698,1,True
31,2021-02-16,10-K,0000350698-21-000031,350698,2,True
32,2020-02-18,10-K,0000350698-20-000042,350698,3,True
33,2019-02-22,10-K,0000350698-19-000047,350698,4,True
34,2018-02-15,10-K,0000350698-18-000032,350698,5,True
35,2017-02-09,10-K,0000350698-17-000028,350698,6,True
36,2016-02-11,10-K,0000350698-16-000276,350698,7,True
37,2015-02-11,10-K,0000350698-15-000045,350698,8,True
38,2014-02-13,10-K,0000350698-14-000018,350698,9,True
39,2013-02-15,10-K,0000350698-13-000021,350698,10,True
40,2012-02-13,10-K,0000350698-12-000016,350698,11,True
41,2011-02-15,10-K,0001193125-11-035910,350698,12,True
42,2022-02-17,10-K,0001564590-22-005428,1610950,1,True
43,2021-02-18,10-K,0001564590-21-006471,1610950,2,True
44,2020-02-20,10-K,0001610950-20-000043,1610950,3,True
45,2019-03-18,10-K,0001610950-19-000008,1610950,4,True
46,2018-02-28,10-K,0001610950-18-000006,1610950,5,True
47,2017-02-28,10-K,0001610950-17-000005,1610950,6,True
48,2016-02-25,10-K,0001610950-16-000036,1610950,9,True
49,2015-02-24,10-K,0001610950-15-000007,1610950,10,True
50,2022-03-01,10-K,0001398659-22-000009,1398659,1,True
51,2021-03-01,10-K,0001564590-21-009746,1398659,2,True
52,2020-03-02,10-K,0001564590-20-008158,1398659,3,True
