,file_date,report,acc-no,cik,id,interactive_data
0,2022-04-14,10-K,0001214659-22-005223,1081834,1,True
1,2015-04-30,10-K,0001437749-15-008470,1081834,2,True
2,2014-11-24,10-K,0001437749-14-021310,1081834,3,True
3,2014-11-21,10-K,0001437749-14-021249,1081834,4,True
4,2012-03-29,10-K,0001437749-12-003012,1081834,5,True
5,2022-03-16,10-K,0001628280-22-006362,1725134,1,True
6,2021-05-18,10-K/A,0001725134-21-000093,1725134,2,True
7,2021-05-18,10-K/A,0001725134-21-000084,1725134,3,True
8,2021-03-16,10-K,0001725134-21-000043,1725134,4,True
9,2020-03-13,10-K,0001193125-20-073028,1725134,5,True
10,2019-03-29,10-K,0001193125-19-092728,1725134,6,True
11,2022-03-16,10-K,0001213900-22-012716,1528356,1,True
12,2021-03-16,10-K,0001213900-21-015538,1528356,2,True
13,2020-03-16,10-K,0001213900-20-006416,1528356,3,True
14,2019-03-19,10-K,0001213900-19-004396,1528356,4,True
15,2018-03-16,10-K,0001213900-18-003067,1528356,5,True
16,2017-03-16,10-K,0001213900-17-002459,1528356,6,True
17,2016-03-15,10-K,0001213900-16-011620,1528356,7,True
18,2015-03-16,10-K,0001213900-15-001804,1528356,8,True
19,2014-03-17,10-K,0001213900-14-001484,1528356,9,True
20,2013-03-21,10-K,0001213900-13-001232,1528356,10,True
21,2022-03-14,10-K,0000950170-22-003502,3197,1,True
22,2021-03-03,10-K,0001564590-21-010416,3197,2,True
23,2020-03-04,10-K,0001564590-20-008551,3197,3,True
24,2019-03-07,10-K,0001564590-19-006619,3197,4,True
25,2018-03-09,10-K,0001564590-18-005085,3197,5,True
26,2017-03-14,10-K,0001564590-17-004264,3197,6,True
27,2016-03-23,10-K,0001564590-16-015157,3197,7,True
28,2015-03-18,10-K,0001193125-15-095828,3197,8,True
29,2014-03-14,10-K,0001193125-14-098407,3197,9,True
30,2013-03-15,10-K,0001193125-13-109153,3197,10,True
31,2012-03-16,10-K,0001193125-12-119293,3197,11,True
32,2021-12-15,10-K,0001213900-21-065280,1561180,1,True
33,2021-08-19,10-K/A,0001213900-21-043858,1561180,2,True
34,2021-08-19,10-K/A,0001213900-21-043835,1561180,3,True
35,2020-12-28,10-K/A,0001213900-20-044696,1561180,4,True
36,2020-12-15,10-K,0001213900-20-042837,1561180,5,True
37,2019-12-16,10-K,0001213900-19-026294,1561180,6,True
38,2022-01-28,10-K,0001174947-22-000082,36840,1,True
39,2021-01-29,10-K,0001174947-21-000060,36840,2,True
40,2020-01-21,10-K,0001174947-20-000048,36840,4,True
41,2019-01-11,10-K,0001174947-19-000021,36840,5,True
42,2018-01-12,10-K,0001174947-18-000033,36840,6,True
43,2017-01-13,10-K,0001174947-17-000045,36840,7,True
44,2016-01-14,10-K,0001174947-16-001916,36840,8,True
45,2015-01-14,10-K,0001174947-15-000044,36840,9,True
46,2014-01-14,10-K,0000914317-14-000021,36840,10,True
47,2013-01-14,10-K,0000914317-13-000059,36840,11,True
48,2012-01-13,10-K,0000914317-12-000048,36840,12,True
49,2022-03-31,10-K,0001410578-22-000776,1835205,1,True
50,2022-03-09,10-K,0000002178-22-000033,2178,1,True
51,2021-03-05,10-K,0000002178-21-000034,2178,2,True
52,2020-03-06,10-K,0000002178-20-000013,2178,3,True
53,2019-03-11,10-K,0000002178-19-000011,2178,4,True
54,2018-03-12,10-K,0000002178-18-000009,2178,5,True
55,2017-03-31,10-K,0000002178-17-000019,2178,6,True
56,2016-03-11,10-K,0000002178-16-000064,2178,7,True
57,2015-03-13,10-K,0000002178-15-000014,2178,8,True
58,2014-03-13,10-K,0000002178-14-000010,2178,9,True
59,2013-03-15,10-K,0000002178-13-000014,2178,10,True
60,2012-03-23,10-K,0000002178-12-000010,2178,11,True
